model,family,arm,cohort,released_pairs,valid_pairs,judgments,reference_missing,perturbed_missing,changed_n,changed_pct,strict_reversal_n,strict_reversal_pct,correct_to_wrong_n,correct_to_wrong_pct,wrong_to_correct_n,wrong_to_correct_pct,correct_to_abstention_n,correct_to_abstention_pct,abstention_to_correct_n,abstention_to_correct_pct,accuracy_difference_pp
openai/gpt-4o-mini,paraphrase,light,all,1000,1000,947,0,0,100,10.0,9,0.9,5,0.5,4,0.4,25,2.5,28,2.8,0.2
openai/gpt-4o-mini,paraphrase,light,after_both_old_cutoffs,159,159,148,0,0,14,8.80503144654088,1,0.6289308176100629,0,0.0,1,0.6289308176100629,2,1.2578616352201257,6,3.7735849056603774,3.1446540880503147
openai/gpt-4o-mini,paraphrase,medium,all,1000,1000,947,0,0,103,10.3,16,1.6,10,1.0,6,0.6,23,2.3,26,2.6,-0.1
openai/gpt-4o-mini,paraphrase,medium,after_both_old_cutoffs,159,159,148,0,0,16,10.062893081761006,2,1.2578616352201257,0,0.0,2,1.2578616352201257,2,1.2578616352201257,8,5.031446540880503,5.031446540880503
openai/gpt-4o-mini,paraphrase,heavy,all,1000,1000,947,0,0,112,11.2,15,1.5,6,0.6,9,0.9,24,2.4,29,2.9,0.8
openai/gpt-4o-mini,paraphrase,heavy,after_both_old_cutoffs,159,159,148,0,0,16,10.062893081761006,2,1.2578616352201257,0,0.0,2,1.2578616352201257,2,1.2578616352201257,7,4.40251572327044,4.40251572327044
openai/gpt-4o-mini,summary,summary,all,1000,1000,947,0,0,170,17.0,52,5.2,38,3.8,14,1.4,27,2.7,44,4.4,-0.7
openai/gpt-4o-mini,summary,summary,after_both_old_cutoffs,159,159,148,0,0,28,17.61006289308176,9,5.660377358490566,5,3.1446540880503147,4,2.5157232704402515,4,2.5157232704402515,8,5.031446540880503,1.8867924528301887
openai/gpt-4.1-mini,paraphrase,light,all,1000,1000,947,0,0,136,13.6,28,2.8,12,1.2,16,1.6,35,3.5,34,3.4,0.3
openai/gpt-4.1-mini,paraphrase,light,after_both_old_cutoffs,159,159,148,0,0,19,11.949685534591195,3,1.8867924528301887,1,0.6289308176100629,2,1.2578616352201257,6,3.7735849056603774,5,3.1446540880503147,0.0
openai/gpt-4.1-mini,paraphrase,medium,all,1000,1000,947,0,0,154,15.4,37,3.7,22,2.2,15,1.5,31,3.1,38,3.8,0.0
openai/gpt-4.1-mini,paraphrase,medium,after_both_old_cutoffs,159,159,148,0,0,22,13.836477987421384,6,3.7735849056603774,5,3.1446540880503147,1,0.6289308176100629,6,3.7735849056603774,4,2.5157232704402515,-3.7735849056603774
openai/gpt-4.1-mini,paraphrase,heavy,all,1000,1000,947,0,0,145,14.5,37,3.7,16,1.6,21,2.1,33,3.3,29,2.9,0.1
openai/gpt-4.1-mini,paraphrase,heavy,after_both_old_cutoffs,159,159,148,0,0,17,10.69182389937107,5,3.1446540880503147,2,1.2578616352201257,3,1.8867924528301887,6,3.7735849056603774,2,1.2578616352201257,-1.8867924528301887
openai/gpt-4.1-mini,summary,summary,all,1000,1000,947,0,0,226,22.6,88,8.8,55,5.5,33,3.3,33,3.3,41,4.1,-1.4
openai/gpt-4.1-mini,summary,summary,after_both_old_cutoffs,159,159,148,0,0,28,17.61006289308176,13,8.176100628930818,9,5.660377358490566,4,2.5157232704402515,3,1.8867924528301887,5,3.1446540880503147,-1.8867924528301887
anthropic/claude-opus-4.6,paraphrase,light,all,1000,1000,947,0,0,76,7.6,15,1.5,12,1.2,3,0.3,15,1.5,12,1.2,-1.2
anthropic/claude-opus-4.6,paraphrase,light,after_both_old_cutoffs,159,159,148,0,0,14,8.80503144654088,1,0.6289308176100629,1,0.6289308176100629,0,0.0,4,2.5157232704402515,4,2.5157232704402515,-0.6289308176100629
anthropic/claude-opus-4.6,paraphrase,medium,all,1000,1000,947,0,0,84,8.4,14,1.4,10,1.0,4,0.4,21,2.1,17,1.7,-1.0
anthropic/claude-opus-4.6,paraphrase,medium,after_both_old_cutoffs,159,159,148,0,0,16,10.062893081761006,0,0.0,0,0.0,0,0.0,6,3.7735849056603774,3,1.8867924528301887,-1.8867924528301887
anthropic/claude-opus-4.6,paraphrase,heavy,all,1000,1000,947,0,0,75,7.5,15,1.5,11,1.1,4,0.4,16,1.6,17,1.7,-0.6
anthropic/claude-opus-4.6,paraphrase,heavy,after_both_old_cutoffs,159,159,148,0,0,10,6.289308176100629,2,1.2578616352201257,2,1.2578616352201257,0,0.0,3,1.8867924528301887,2,1.2578616352201257,-1.8867924528301887
anthropic/claude-opus-4.6,summary,summary,all,1000,1000,947,0,0,161,16.1,46,4.6,24,2.4,22,2.2,44,4.4,22,2.2,-2.4
anthropic/claude-opus-4.6,summary,summary,after_both_old_cutoffs,159,159,148,0,0,31,19.49685534591195,6,3.7735849056603774,3,1.8867924528301887,3,1.8867924528301887,10,6.289308176100629,4,2.5157232704402515,-3.7735849056603774
openai/gpt-5.6-sol,paraphrase,light,all,1000,1000,947,0,0,49,4.9,10,1.0,4,0.4,6,0.6,9,0.9,14,1.4,0.7
