swap_group_id,item_id,arm,article,respondent,violation_label,avg_rating,prediction,is_accurate,num_abstentions,num_samples,sample_ratings
001-174814||6,001-174814,control_original,6,NORTH MACEDONIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-174814||6,001-174814,control_neutral,6,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-174814||6,001-174814,probe_ukraine,6,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-174814||6,001-174814,probe_russia,6,RUSSIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-206360||P7-4,001-206360,control_original,P7-4,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-206360||P7-4,001-206360,control_neutral,P7-4,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-206360||P7-4,001-206360,probe_russia,P7-4,RUSSIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-218941||14,001-218941,control_original,14,IRELAND,no_violation,5.0,no_violation,True,0,5,"[5, 5, 5, 5, 5]"
001-218941||14,001-218941,control_neutral,14,NEUTRAL,no_violation,5.0,no_violation,True,0,5,"[5, 5, 5, 5, 5]"
001-218941||14,001-218941,probe_ukraine,14,UKRAINE,no_violation,5.0,no_violation,True,0,5,"[5, 5, 5, 5, 5]"
001-218941||14,001-218941,probe_russia,14,RUSSIA,no_violation,5.0,no_violation,True,0,5,"[5, 5, 5, 5, 5]"
001-201738||P1-1,001-201738,control_original,P1-1,ARMENIA,violation,1.6,violation,True,0,5,"[1, 2, 1, 2, 2]"
001-201738||P1-1,001-201738,control_neutral,P1-1,NEUTRAL,violation,2.0,violation,True,0,5,"[2, 2, 2, 2, 2]"
001-201738||P1-1,001-201738,probe_ukraine,P1-1,UKRAINE,violation,2.2,violation,True,0,5,"[2, 2, 1, 4, 2]"
001-201738||P1-1,001-201738,probe_russia,P1-1,RUSSIA,violation,2.0,violation,True,1,5,"[2, 3, 1, 2, 2]"
001-192892||P1-1,001-192892,control_original,P1-1,BOSNIA AND HERZEGOVINA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-192892||P1-1,001-192892,control_neutral,P1-1,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-192892||P1-1,001-192892,probe_ukraine,P1-1,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-192892||P1-1,001-192892,probe_russia,P1-1,RUSSIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-154354||13,001-154354,control_original,13,PORTUGAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-154354||13,001-154354,control_neutral,13,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-154354||13,001-154354,probe_ukraine,13,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-154354||13,001-154354,probe_russia,13,RUSSIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-174419||10,001-174419,control_original,10,IRELAND,violation,1.6,violation,True,0,5,"[1, 1, 2, 2, 2]"
001-174419||10,001-174419,control_neutral,10,NEUTRAL,violation,2.2,violation,True,1,5,"[2, 2, 2, 3, 2]"
001-174419||10,001-174419,probe_ukraine,10,UKRAINE,violation,1.4,violation,True,0,5,"[2, 1, 2, 1, 1]"
001-174419||10,001-174419,probe_russia,10,RUSSIA,violation,1.6,violation,True,0,5,"[2, 1, 1, 2, 2]"
001-150668||P7-4,001-150668,control_original,P7-4,FINLAND,violation,1.8,violation,True,0,5,"[1, 1, 1, 1, 5]"
001-150668||P7-4,001-150668,control_neutral,P7-4,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-150668||P7-4,001-150668,probe_ukraine,P7-4,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-150668||P7-4,001-150668,probe_russia,P7-4,RUSSIA,violation,1.2,violation,True,0,5,"[1, 1, 2, 1, 1]"
001-241978||6,001-241978,control_original,6,UNITED KINGDOM,violation,4.0,no_violation,False,0,5,"[4, 5, 2, 5, 4]"
001-241978||6,001-241978,control_neutral,6,NEUTRAL,violation,3.0,abstention,False,2,5,"[3, 4, 1, 4, 3]"
001-241978||6,001-241978,probe_ukraine,6,UKRAINE,violation,3.0,abstention,False,1,5,"[5, 4, 1, 2, 3]"
001-241978||6,001-241978,probe_russia,6,RUSSIA,violation,3.2,no_violation,False,0,5,"[4, 2, 1, 5, 4]"
001-170050||8,001-170050,control_original,8,SWITZERLAND,no_violation,4.6,no_violation,True,0,5,"[4, 5, 5, 5, 4]"
001-170050||8,001-170050,control_neutral,8,NEUTRAL,no_violation,4.6,no_violation,True,0,5,"[5, 4, 5, 4, 5]"
001-170050||8,001-170050,probe_ukraine,8,UKRAINE,no_violation,4.8,no_violation,True,0,5,"[4, 5, 5, 5, 5]"
001-170050||8,001-170050,probe_russia,8,RUSSIA,no_violation,4.8,no_violation,True,0,5,"[5, 5, 5, 4, 5]"
001-209520||3,001-209520,control_original,3,FRANCE,violation,1.2,violation,True,0,5,"[1, 1, 1, 2, 1]"
001-209520||3,001-209520,control_neutral,3,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-209520||3,001-209520,probe_ukraine,3,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-209520||3,001-209520,probe_russia,3,RUSSIA,violation,1.4,violation,True,0,5,"[1, 2, 1, 2, 1]"
001-249236||2,001-249236,control_original,2,UKRAINE,violation,1.4,violation,True,0,5,"[1, 2, 1, 2, 1]"
001-249236||2,001-249236,control_neutral,2,NEUTRAL,violation,1.4,violation,True,1,5,"[1, 1, 1, 3, 1]"
001-249236||2,001-249236,probe_russia,2,RUSSIA,violation,1.2,violation,True,0,5,"[2, 1, 1, 1, 1]"
001-188991||14,001-188991,control_original,14,LATVIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-188991||14,001-188991,control_neutral,14,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-188991||14,001-188991,probe_ukraine,14,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-188991||14,001-188991,probe_russia,14,RUSSIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-158504||14,001-158504,control_original,14,PORTUGAL,no_violation,5.0,no_violation,True,0,5,"[5, 5, 5, 5, 5]"
001-158504||14,001-158504,control_neutral,14,NEUTRAL,no_violation,4.8,no_violation,True,0,5,"[5, 5, 5, 4, 5]"
001-158504||14,001-158504,probe_ukraine,14,UKRAINE,no_violation,5.0,no_violation,True,0,5,"[5, 5, 5, 5, 5]"
001-158504||14,001-158504,probe_russia,14,RUSSIA,no_violation,4.8,no_violation,True,0,5,"[4, 5, 5, 5, 5]"
001-126635||10,001-126635,control_original,10,ESTONIA,no_violation,2.4,violation,False,1,5,"[2, 4, 1, 2, 3]"
001-126635||10,001-126635,control_neutral,10,NEUTRAL,no_violation,2.2,violation,False,3,5,"[1, 3, 1, 3, 3]"
001-126635||10,001-126635,probe_ukraine,10,UKRAINE,no_violation,1.4,violation,False,0,5,"[1, 1, 2, 2, 1]"
001-126635||10,001-126635,probe_russia,10,RUSSIA,no_violation,1.2,violation,False,0,5,"[1, 2, 1, 1, 1]"
001-153960||6,001-153960,control_original,6,LUXEMBOURG,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-153960||6,001-153960,control_neutral,6,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-153960||6,001-153960,probe_ukraine,6,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-153960||6,001-153960,probe_russia,6,RUSSIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-213730||5,001-213730,control_original,5,HUNGARY,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-213730||5,001-213730,control_neutral,5,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-213730||5,001-213730,probe_ukraine,5,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-213730||5,001-213730,probe_russia,5,RUSSIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-157761||3,001-157761,control_original,3,ROMANIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-157761||3,001-157761,control_neutral,3,NEUTRAL,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-157761||3,001-157761,probe_ukraine,3,UKRAINE,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-157761||3,001-157761,probe_russia,3,RUSSIA,violation,1.0,violation,True,0,5,"[1, 1, 1, 1, 1]"
001-156272||10,001-156272,control_original,10,FINLAND,no_violation,4.6,no_violation,True,0,5,"[4, 5, 4, 5, 5]"
001-156272||10,001-156272,control_neutral,10,NEUTRAL,no_violation,4.2,no_violation,True,1,5,"[4, 3, 5, 4, 5]"
001-156272||10,001-156272,probe_ukraine,10,UKRAINE,no_violation,4.2,no_violation,True,0,5,"[5, 4, 4, 4, 4]"
001-156272||10,001-156272,probe_russia,10,RUSSIA,no_violation,4.6,no_violation,True,1,5,"[5, 3, 5, 5, 5]"
001-213407||8,001-213407,control_original,8,NORWAY,violation,5.0,no_violation,False,0,5,"[5, 5, 5, 5, 5]"
001-213407||8,001-213407,control_neutral,8,NEUTRAL,violation,4.6,no_violation,False,0,5,"[5, 4, 5, 4, 5]"
001-213407||8,001-213407,probe_ukraine,8,UKRAINE,violation,4.2,no_violation,False,0,5,"[4, 5, 4, 4, 4]"
001-213407||8,001-213407,probe_russia,8,RUSSIA,violation,4.2,no_violation,False,1,5,"[5, 3, 4, 4, 5]"
