model,label,mode,turn,cohort_n,paired_valid_n,excluded_missing_n,judgments,before_abstention_n,after_abstention_n,before_brier,after_brier,change,lower_95,upper_95,cohort_sha256
anthropic/claude-opus-4.6,Claude Opus 4.6,static,1,7104,7104,0,874,0,224,0.1538923564189189,0.22213029279279278,0.06823793637387388,0.05618991762957472,0.08065563990468408,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
anthropic/claude-opus-4.6,Claude Opus 4.6,static,2,7104,7104,0,874,0,165,0.1538923564189189,0.2732101632882883,0.11931780686936938,0.10188600333649851,0.13601785779232003,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
anthropic/claude-opus-4.6,Claude Opus 4.6,static,3,7104,7104,0,874,0,79,0.1538923564189189,0.2985300253378378,0.1446376689189189,0.12499773763190672,0.16362622137979946,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,1,7104,7104,0,874,0,338,0.1538923564189189,0.20043741554054054,0.04654505912162163,0.036431848171036826,0.05692324906980866,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,2,7104,7104,0,874,0,392,0.1538923564189189,0.24604885979729726,0.0921565033783784,0.07699525205434819,0.10708558144195987,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,3,7104,7104,0,874,0,367,0.1538923564189189,0.2682237190315315,0.11433136261261262,0.0972676919398863,0.13128974373002175,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
openai/gpt-5.6-sol,GPT-5.6-sol,static,1,9204,9204,0,926,0,0,0.13834746849196003,0.6334684159061278,0.4951209474141678,0.45313623760908905,0.5367892328530454,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
openai/gpt-5.6-sol,GPT-5.6-sol,static,2,9204,9204,0,926,0,0,0.13834746849196003,0.6525432963928727,0.5141958279009127,0.4713219546639445,0.5552099745217283,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
openai/gpt-5.6-sol,GPT-5.6-sol,static,3,9204,9204,0,926,0,0,0.13834746849196003,0.65471938287701,0.51637191438505,0.4727885745918771,0.558267652712437,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,1,9204,9204,0,926,0,1,0.13834746849196003,0.5339244458930898,0.39557697740112996,0.35660067477720914,0.4335865251471705,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,2,9204,9204,0,926,0,0,0.13834746849196003,0.5407969252498913,0.4024494567579313,0.3646250868222612,0.4399369788343696,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
openai/gpt-5.6-sol,GPT-5.6-sol,adaptive,3,9204,9204,0,926,0,2,0.13834746849196003,0.5249957735767058,0.3866483050847458,0.34946527745421363,0.423258658027747,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,static,1,5094,5094,0,695,0,2,0.19985667451904202,0.7121881429132313,0.5123314683941892,0.45514263038431035,0.5698899529681486,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,static,2,5094,5094,0,695,0,0,0.19985667451904202,0.7372500785237535,0.5373934040047115,0.4785976514940159,0.5956740450831738,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,static,3,5094,5094,0,695,0,0,0.19985667451904202,0.7440518453082058,0.5441951707891637,0.48554851468797133,0.6026841468013688,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,adaptive,1,5094,5094,0,695,0,45,0.19985667451904202,0.6866878288182174,0.4868311542991755,0.43325564809531697,0.5407844761633236,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,adaptive,2,5094,5094,0,695,0,39,0.19985667451904202,0.6657695327836671,0.46591285826462503,0.4136197319139928,0.5182164185276954,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,adaptive,3,5094,5094,0,695,0,23,0.19985667451904202,0.702880526109148,0.5030238515901061,0.4490148740396158,0.558949906588846,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,static,1,7764,7764,0,875,0,24,0.2027072900566718,0.6553973853683669,0.452690095311695,0.4058297756010286,0.49827576854453076,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,static,2,7764,7764,0,875,0,6,0.2027072900566718,0.6974689206594539,0.4947616306027821,0.44546342293430513,0.5409970327809047,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,static,3,7764,7764,0,875,0,4,0.2027072900566718,0.7120704791344667,0.509363189077795,0.4585076676342036,0.5579237825402483,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,adaptive,1,7764,7764,0,875,0,150,0.2027072900566718,0.6138532843894899,0.4111459943328182,0.3668258643201667,0.45263078042136673,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,adaptive,2,7764,7764,0,875,0,125,0.2027072900566718,0.5189352524471922,0.31622796239052037,0.2812951603845758,0.35056026304623283,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,adaptive,3,7764,7764,0,875,0,94,0.2027072900566718,0.6171855744461618,0.4144782843894899,0.3711529115917905,0.4556788034308009,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
qwen/qwen3-235b-a22b,Qwen3-235B,static,1,7582,7582,0,835,0,108,0.19147553415985227,0.6751417831706674,0.48366624901081506,0.43860426145571496,0.529125461184596,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
qwen/qwen3-235b-a22b,Qwen3-235B,static,2,7582,7582,0,835,0,37,0.19147553415985227,0.7126989448694275,0.5212234107095753,0.4731532020971887,0.5692246502549866,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
qwen/qwen3-235b-a22b,Qwen3-235B,static,3,7582,7582,0,835,0,14,0.19147553415985227,0.7299364943286731,0.538460960168821,0.48963442031647836,0.5869999381115683,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
qwen/qwen3-235b-a22b,Qwen3-235B,adaptive,1,7582,7582,0,835,0,213,0.19147553415985227,0.655512068055922,0.46403653389606964,0.4210630062671281,0.5078529986376675,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
qwen/qwen3-235b-a22b,Qwen3-235B,adaptive,2,7582,7582,0,835,0,335,0.19147553415985227,0.561618029543656,0.3701424953838037,0.33593000487868385,0.4056635341629322,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
qwen/qwen3-235b-a22b,Qwen3-235B,adaptive,3,7582,7582,0,835,0,252,0.19147553415985227,0.6551474808757584,0.4636719467159061,0.4220801456605345,0.5051177823349038,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
qwen/qwen3-32b,Qwen3-32B,static,1,7728,7728,0,883,0,125,0.2132195393374741,0.5787701604554866,0.3655506211180124,0.3244797904014012,0.40802518389756876,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
qwen/qwen3-32b,Qwen3-32B,static,2,7728,7728,0,883,0,32,0.2132195393374741,0.6134227872670808,0.40020324792960665,0.3577223303449739,0.443972845704878,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
qwen/qwen3-32b,Qwen3-32B,static,3,7728,7728,0,883,0,17,0.2132195393374741,0.6393626164596273,0.42614307712215316,0.3820510874770436,0.4713565481843972,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
qwen/qwen3-32b,Qwen3-32B,adaptive,1,7728,7728,0,883,0,344,0.2132195393374741,0.5453658773291926,0.33214633799171844,0.2935048862017998,0.3714577270642217,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
qwen/qwen3-32b,Qwen3-32B,adaptive,2,7728,7728,0,883,0,264,0.2132195393374741,0.547644927536232,0.3344253881987578,0.29693049885296796,0.3715527507291655,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
