model,experiment,condition,released_pairs,valid_pairs,reference_missing,perturbed_missing,categorical_changes_valid,categorical_changes_including_failed
anthropic/claude-opus-4.6,summarization,abstractive,1000,1000,0,0,161,161
anthropic/claude-opus-4.6,paraphrasing,light,1000,1000,0,0,76,76
anthropic/claude-opus-4.6,paraphrasing,medium,1000,1000,0,0,84,84
anthropic/claude-opus-4.6,paraphrasing,heavy,1000,1000,0,0,75,75
anthropic/claude-opus-4.6,state_swap,US,800,800,0,0,64,64
anthropic/claude-opus-4.6,state_swap,Russia,800,800,0,0,76,76
anthropic/claude-opus-4.6,state_swap,Ukraine,800,800,0,0,60,60
openai/gpt-5.6-sol,summarization,abstractive,1000,1000,0,0,107,107
openai/gpt-5.6-sol,paraphrasing,light,1000,1000,0,0,49,49
openai/gpt-5.6-sol,paraphrasing,medium,1000,1000,0,0,56,56
openai/gpt-5.6-sol,paraphrasing,heavy,1000,1000,0,0,47,47
openai/gpt-5.6-sol,state_swap,US,800,800,0,0,107,107
openai/gpt-5.6-sol,state_swap,Russia,800,800,0,0,52,52
openai/gpt-5.6-sol,state_swap,Ukraine,800,800,0,0,48,48
deepseek/deepseek-v4-pro,summarization,abstractive,1000,1000,0,0,158,158
deepseek/deepseek-v4-pro,paraphrasing,light,1000,985,10,5,132,147
deepseek/deepseek-v4-pro,paraphrasing,medium,1000,981,10,10,131,149
deepseek/deepseek-v4-pro,paraphrasing,heavy,1000,982,10,8,121,139
deepseek/deepseek-v4-pro,state_swap,US,800,800,0,0,163,163
deepseek/deepseek-v4-pro,state_swap,Russia,800,800,0,0,116,116
deepseek/deepseek-v4-pro,state_swap,Ukraine,800,800,0,0,105,105
deepseek/deepseek-v4-flash,summarization,abstractive,1000,1000,0,0,126,126
deepseek/deepseek-v4-flash,paraphrasing,light,1000,1000,0,0,161,161
deepseek/deepseek-v4-flash,paraphrasing,medium,1000,999,0,1,168,169
deepseek/deepseek-v4-flash,paraphrasing,heavy,1000,999,0,1,155,156
deepseek/deepseek-v4-flash,state_swap,US,800,800,0,0,155,155
deepseek/deepseek-v4-flash,state_swap,Russia,800,800,0,0,70,70
deepseek/deepseek-v4-flash,state_swap,Ukraine,800,800,0,0,65,65
qwen/qwen3-235b-a22b,summarization,abstractive,1000,1000,0,0,160,160
qwen/qwen3-235b-a22b,paraphrasing,light,1000,1000,0,0,104,104
qwen/qwen3-235b-a22b,paraphrasing,medium,1000,1000,0,0,106,106
qwen/qwen3-235b-a22b,paraphrasing,heavy,1000,1000,0,0,103,103
qwen/qwen3-235b-a22b,state_swap,US,800,800,0,0,104,104
qwen/qwen3-235b-a22b,state_swap,Russia,800,800,0,0,84,84
qwen/qwen3-235b-a22b,state_swap,Ukraine,800,800,0,0,82,82
qwen/qwen3-32b,summarization,abstractive,1000,1000,0,0,147,147
qwen/qwen3-32b,paraphrasing,light,1000,1000,0,0,85,85
qwen/qwen3-32b,paraphrasing,medium,1000,1000,0,0,92,92
qwen/qwen3-32b,paraphrasing,heavy,1000,1000,0,0,86,86
qwen/qwen3-32b,state_swap,US,800,800,0,0,103,103
qwen/qwen3-32b,state_swap,Russia,800,800,0,0,61,61
qwen/qwen3-32b,state_swap,Ukraine,800,800,0,0,54,54
