invalid_scores,path,rows,stored_vote_differs_from_mean,valid_scores
0,data/experiments/unified_fullcase_latest/anthropic_claude-opus-4_6/baseline.jsonl,1000,3,1000
0,data/experiments/unified_fullcase_latest/anthropic_claude-opus-4_6/rq1.jsonl,1000,9,1000
0,data/experiments/paraphrase/anthropic_claude-opus-4.6/paraphrase_results.jsonl,4000,0,4000
0,data/experiments/unified_fullcase_latest/openai_gpt-5_6-sol/baseline.jsonl,1000,13,1000
0,data/experiments/unified_fullcase_latest/openai_gpt-5_6-sol/rq1.jsonl,1000,31,1000
0,data/experiments/paraphrase/openai_gpt-5.6-sol/paraphrase_results.jsonl,4000,0,4000
0,data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-pro/baseline.jsonl,1000,57,1000
0,data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-pro/rq1.jsonl,1000,72,1000
33,data/experiments/paraphrase/deepseek_deepseek-v4-pro/paraphrase_results.jsonl,4000,0,3967
0,data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-flash/baseline.jsonl,1000,51,1000
0,data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-flash/rq1.jsonl,1000,44,1000
2,data/experiments/paraphrase/deepseek_deepseek-v4-flash/paraphrase_results.jsonl,4000,0,3998
0,data/experiments/unified_fullcase_latest/qwen_qwen3-235b-a22b/baseline.jsonl,1000,74,1000
0,data/experiments/unified_fullcase_latest/qwen_qwen3-235b-a22b/rq1.jsonl,1000,61,1000
0,data/experiments/paraphrase/qwen_qwen3-235b-a22b/paraphrase_results.jsonl,4000,0,4000
0,data/experiments/unified_fullcase_latest/qwen_qwen3-32b/baseline.jsonl,1000,70,1000
0,data/experiments/unified_fullcase_latest/qwen_qwen3-32b/rq1.jsonl,1000,66,1000
0,data/experiments/paraphrase/qwen_qwen3-32b/paraphrase_results.jsonl,4000,0,4000
0,data/experiments/unified_fullcase_oldmodels/openai_gpt-4o-mini/baseline.jsonl,1000,44,1000
0,data/experiments/unified_fullcase_oldmodels/openai_gpt-4o-mini/rq1.jsonl,1000,25,1000
0,data/experiments/paraphrase_oldmodels/openai_gpt-4o-mini/paraphrase_results.jsonl,4000,0,4000
0,data/experiments/unified_fullcase_oldmodels/openai_gpt-4_1-mini/baseline.jsonl,1000,75,1000
0,data/experiments/unified_fullcase_oldmodels/openai_gpt-4_1-mini/rq1.jsonl,1000,43,1000
0,data/experiments/paraphrase_oldmodels/openai_gpt-4.1-mini/paraphrase_results.jsonl,4000,0,4000
0,data/experiments/stateswap_summary/anthropic_claude-opus-4.6/stateswap_summary_results.jsonl,4000,0,4000
0,data/experiments/stateswap_summary/openai_gpt-5.6-sol/stateswap_summary_results.jsonl,4000,0,4000
0,data/experiments/stateswap_summary/deepseek_deepseek-v4-pro/stateswap_summary_results.jsonl,4000,0,4000
0,data/experiments/stateswap_summary/deepseek_deepseek-v4-flash/stateswap_summary_results.jsonl,4000,0,4000
0,data/experiments/stateswap_summary/qwen_qwen3-235b-a22b/stateswap_summary_results.jsonl,4000,0,4000
0,data/experiments/stateswap_summary/qwen_qwen3-32b/stateswap_summary_results.jsonl,4000,0,4000
