scope,model,mode,comparison,observations,judgments,cohort_sha256
summarization,anthropic/claude-opus-4.6,paired_inputs,summary,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,anthropic/claude-opus-4.6,paired_inputs,light,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,anthropic/claude-opus-4.6,paired_inputs,medium,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,anthropic/claude-opus-4.6,paired_inputs,heavy,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
summarization,openai/gpt-5.6-sol,paired_inputs,summary,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,openai/gpt-5.6-sol,paired_inputs,light,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,openai/gpt-5.6-sol,paired_inputs,medium,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,openai/gpt-5.6-sol,paired_inputs,heavy,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
summarization,deepseek/deepseek-v4-pro,paired_inputs,summary,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,deepseek/deepseek-v4-pro,paired_inputs,light,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,deepseek/deepseek-v4-pro,paired_inputs,medium,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,deepseek/deepseek-v4-pro,paired_inputs,heavy,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
summarization,deepseek/deepseek-v4-flash,paired_inputs,summary,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,deepseek/deepseek-v4-flash,paired_inputs,light,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,deepseek/deepseek-v4-flash,paired_inputs,medium,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,deepseek/deepseek-v4-flash,paired_inputs,heavy,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
summarization,qwen/qwen3-235b-a22b,paired_inputs,summary,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,qwen/qwen3-235b-a22b,paired_inputs,light,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,qwen/qwen3-235b-a22b,paired_inputs,medium,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,qwen/qwen3-235b-a22b,paired_inputs,heavy,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
summarization,qwen/qwen3-32b,paired_inputs,summary,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,qwen/qwen3-32b,paired_inputs,light,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,qwen/qwen3-32b,paired_inputs,medium,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
paraphrasing,qwen/qwen3-32b,paired_inputs,heavy,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6
summarization,pooled_six_models,paired_inputs,summary,6000,947,2f3f08194ac66277d3308c6fc2defec4d8acd162efe76890e7ec538a9bb048ec
paraphrasing,pooled_six_models,paired_inputs,light,6000,947,2f3f08194ac66277d3308c6fc2defec4d8acd162efe76890e7ec538a9bb048ec
paraphrasing,pooled_six_models,paired_inputs,medium,6000,947,2f3f08194ac66277d3308c6fc2defec4d8acd162efe76890e7ec538a9bb048ec
paraphrasing,pooled_six_models,paired_inputs,heavy,6000,947,2f3f08194ac66277d3308c6fc2defec4d8acd162efe76890e7ec538a9bb048ec
primary_mode_pairs,anthropic/claude-opus-4.6,both,all_11_conditions,7104,874,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6
primary_mode_pairs,openai/gpt-5.6-sol,both,all_11_conditions,9204,926,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50
primary_mode_pairs,deepseek/deepseek-v4-pro,both,all_11_conditions,5094,695,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f
primary_mode_pairs,deepseek/deepseek-v4-flash,both,all_11_conditions,7764,875,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81
primary_mode_pairs,qwen/qwen3-235b-a22b,both,all_11_conditions,7582,835,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709
primary_mode_pairs,qwen/qwen3-32b,both,all_11_conditions,7728,883,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f
within_model_mode,anthropic/claude-opus-4.6,static,no_cue/ai_safety_researcher,874,874,ed293a862c3a494da0bb9a768e4b20c4847a7865744470c7bedd72bfdb18cf2e
within_model_mode,anthropic/claude-opus-4.6,adaptive,no_cue/ai_safety_researcher,480,480,a8c8df43b470968bd5c81b6693a6dfe821035f8ed99763d549ef147ce8eaed87
within_model_mode,openai/gpt-5.6-sol,static,no_cue/ai_safety_researcher,923,923,07c91c54c290942996e9d3d57bb7aec68449a19854d0bfe6a22770afe4a87688
within_model_mode,openai/gpt-5.6-sol,adaptive,no_cue/ai_safety_researcher,730,730,e2bbecb08a9453adb905b507157df0c3d399b3ae2edd1170f2bc0616658f81aa
within_model_mode,deepseek/deepseek-v4-pro,static,no_cue/ai_safety_researcher,603,603,5a9a792f2e83ebf3a8d3b6dff998723b28917002684985c0a5edf5dec936f5c7
within_model_mode,deepseek/deepseek-v4-pro,adaptive,no_cue/ai_safety_researcher,383,383,499d74bbbcf3f21bb77f7b1284c2bb57b9e9aec14107a57f03333c28336de511
within_model_mode,deepseek/deepseek-v4-flash,static,no_cue/ai_safety_researcher,849,849,cbab00e1eca6d5f76d48bd7b7275c3f2e9c0dfab7a81ae672b4f4abd2b3f2f31
within_model_mode,deepseek/deepseek-v4-flash,adaptive,no_cue/ai_safety_researcher,596,596,39bfb638cca76dc229c130d6bb69a98bed2ae826b13ba4bee632ce64e12fd2ce
within_model_mode,qwen/qwen3-235b-a22b,static,no_cue/ai_safety_researcher,830,830,b74b10e3f8455d92346c852f33ccbbec570a45970fdd0700cb7f240d88b8d42a
within_model_mode,qwen/qwen3-235b-a22b,adaptive,no_cue/ai_safety_researcher,552,552,098fc8430f1b0a84ece37c043470ece72b5d1039f05f8b70660f98e0213297a7
within_model_mode,qwen/qwen3-32b,static,no_cue/ai_safety_researcher,863,863,26ec899298346313fa2ad5cbb4d32befa0c490a017ecf4f39c4ac43d22e08c9e
within_model_mode,qwen/qwen3-32b,adaptive,no_cue/ai_safety_researcher,589,589,1e5ccb0aaaeb927139df06c97f9f3cddd9aa9e9d5b996fa1842b44cec8526b16
three_roles,anthropic/claude-opus-4.6,static,no_cue/lawyer/ai_safety_researcher,874,874,ed293a862c3a494da0bb9a768e4b20c4847a7865744470c7bedd72bfdb18cf2e
three_roles,anthropic/claude-opus-4.6,adaptive,no_cue/lawyer/ai_safety_researcher,373,373,48a57d354e601458e8e3143d57e5fefd8cfef3ea05b8c1a06b7d4afa64935373
three_roles,openai/gpt-5.6-sol,static,no_cue/lawyer/ai_safety_researcher,923,923,07c91c54c290942996e9d3d57bb7aec68449a19854d0bfe6a22770afe4a87688
three_roles,openai/gpt-5.6-sol,adaptive,no_cue/lawyer/ai_safety_researcher,663,663,4797ffcb384d3991d7175802c5b06dea9efa0a37671e7715e663f088ce8ebf1a
three_roles,deepseek/deepseek-v4-pro,static,no_cue/lawyer/ai_safety_researcher,570,570,1fde0a4c123cdc04906514283ded8878f1db8d71fe351793ddc040e3ef1227ef
