scope,model,label,mode,cue,initial_group,metric,reference,numerator,denominator,judgments,estimate,lower_95,upper_95,unit
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_correct,no_cue,621,684,684,90.78947368421053,88.52211825598079,92.74177109440268,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_wrong,no_cue,-621,684,684,-90.78947368421053,-92.74177109440268,-88.52211825598079,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_abstention,no_cue,0,684,684,0.0,0.0,0.0,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,correct,final_correct,no_cue,467,684,684,68.27485380116958,64.70566513163611,71.59590043923866,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,correct,final_wrong,no_cue,-468,684,684,-68.42105263157895,-71.7019156043503,-64.8527402467634,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,correct,final_abstention,no_cue,1,684,684,0.14619883040935672,0.0,0.4484304932735426,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,correct,final_correct,no_cue,529,684,684,77.3391812865497,74.2056291749263,80.23607651952732,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,correct,final_wrong,no_cue,-540,684,684,-78.94736842105263,-81.85817175318088,-75.92585754144099,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,correct,final_abstention,no_cue,11,684,684,1.608187134502924,0.7385524372230428,2.616279069767442,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_correct,no_cue,515,684,684,75.29239766081871,72.06265713270031,78.17156193377275,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_wrong,no_cue,-519,684,684,-75.87719298245614,-78.86068667793764,-72.68784535662448,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_abstention,no_cue,4,684,684,0.5847953216374269,0.1434668842727531,1.2162269753326347,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_correct,lawyer,154,684,684,22.514619883040936,19.444342169857634,25.664359017172508,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_wrong,lawyer,-153,684,684,-22.36842105263158,-25.544267053701013,-19.331272983417893,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_abstention,lawyer,-1,684,684,-0.14619883040935672,-0.4484304932735426,0.0,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_correct,junior_lawyer,-14,684,684,-2.046783625730994,-4.51270200490868,0.5667964212199633,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_wrong,junior_lawyer,21,684,684,3.070175438596491,0.5821156039496651,5.483603583314564,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_abstention,junior_lawyer,-7,684,684,-1.023391812865497,-2.148997134670487,0.0,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,wrong,final_correct,no_cue,-180,190,190,-94.73684210526315,-97.7780847145488,-91.42780337941629,percentage_points
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,wrong,final_wrong,no_cue,180,190,190,94.73684210526315,91.42780337941629,97.7780847145488,percentage_points
