model,label,contrast,cohort_sha256,rule,n,judgments,final_correct_pp,strict_reversal_pp,opposes_original_verdict_pp,final_abstention_pp,final_correct_lower_95,final_correct_upper_95,strict_reversal_lower_95,strict_reversal_upper_95,opposes_original_verdict_lower_95,opposes_original_verdict_upper_95,final_abstention_lower_95,final_abstention_upper_95
anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive_minus_static,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_40_60,7104,874,-2.6463963963963963,-3.1953828828828827,-3.1953828828828827,4.054054054054054,-3.9292758815131728,-1.415553548154248,-4.489292747817119,-1.8404035238775882,-4.489292747817119,-1.8404035238775882,3.4487452936475074,4.70789551427491
anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive_minus_static,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_45_55,7104,874,-1.8862612612612615,-2.1537162162162162,-2.1537162162162162,2.2804054054054053,-3.1764317974194705,-0.6459383381794124,-3.4186663757776956,-0.8125999386394622,-3.4186663757776956,-0.8125999386394622,1.824560181791526,2.7487881827220297
anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive_minus_static,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,band_35_65,7104,874,-4.476351351351352,-3.8992117117117115,-5.166103603603603,7.179054054054054,-5.807342341581412,-3.2356110701338188,-5.144187338085144,-2.607542877310343,-6.482338727791465,-3.8311785837082164,6.360012592821654,8.08709674843331
anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive_minus_static,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,binary_50_tie_violation,7104,874,-0.7179054054054055,-1.224662162162162,-1.224662162162162,0.0,-1.962201446235279,0.4918579994939317,-2.4674560470339135,0.0856852721901982,-2.4674560470339135,0.0856852721901982,0.0,0.0
anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive_minus_static,81045a6564247a385b1f979599ee0064d40b7ce384b40f4631d493c363eca5c6,binary_50_tie_no_violation,7104,874,-0.7179054054054055,-1.168355855855856,-1.168355855855856,0.0,-1.9760247075179778,0.5023922178449988,-2.4082853324595215,0.14230686699356077,-2.4082853324595215,0.14230686699356077,0.0,0.0
openai/gpt-5.6-sol,GPT-5.6-sol,adaptive_minus_static,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50,band_40_60,9204,926,10.908300738809213,-14.319860930030421,-14.319860930030421,0.0217296827466319,9.68405651515252,12.189988390531148,-15.412353533463584,-13.279928192302199,-15.412353533463584,-13.279928192302199,0.0,0.05427732462449253
openai/gpt-5.6-sol,GPT-5.6-sol,adaptive_minus_static,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50,band_45_55,9204,926,10.908300738809213,-14.308996088657105,-14.308996088657105,0.01086484137331595,9.68405651515252,12.189988390531148,-15.404534969200741,-13.259951536649169,-15.404534969200741,-13.259951536649169,0.0,0.032719122729210855
openai/gpt-5.6-sol,GPT-5.6-sol,adaptive_minus_static,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50,band_35_65,9204,926,10.886571056062582,-14.363320295523685,-14.363320295523685,0.0651890482398957,9.670640709819423,12.170426126159155,-15.454844349081512,-13.297927100994748,-15.454844349081512,-13.297927100994748,0.021640103538459673,0.11955222258450168
openai/gpt-5.6-sol,GPT-5.6-sol,adaptive_minus_static,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50,binary_50_tie_violation,9204,926,10.91916558018253,-14.308996088657105,-14.308996088657105,0.0,9.692868997563732,12.20283179571712,-15.404534969200741,-13.259951536649169,-15.404534969200741,-13.259951536649169,0.0,0.0
openai/gpt-5.6-sol,GPT-5.6-sol,adaptive_minus_static,1f132ff10e31780ed9f65474f8408b17d4977b5f506c92b19b7e560013ceda50,binary_50_tie_no_violation,9204,926,10.908300738809213,-14.298131247283791,-14.298131247283791,0.0,9.68405651515252,12.189988390531148,-15.380495780866703,-13.25843039720386,-15.380495780866703,-13.25843039720386,0.0,0.0
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,adaptive_minus_static,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f,band_40_60,5094,695,1.6686297605025517,-3.631723596387907,-3.631723596387907,0.4515115822536317,0.9620762525730129,2.3819430375975688,-4.326357134189705,-2.9695955975418893,-4.326357134189705,-2.9695955975418893,0.2734348307545881,0.6649748929284248
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,adaptive_minus_static,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f,band_45_55,5094,695,1.6882606988614057,-3.5728307813113465,-3.5728307813113465,0.3729878288182175,0.9778994719342852,2.3930799671041556,-4.262961638944328,-2.9019465618044906,-4.262961638944328,-2.9019465618044906,0.19778285495843156,0.5705376381980385
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,adaptive_minus_static,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f,band_35_65,5094,695,1.6686297605025517,-3.651354534746761,-3.729878288182175,0.569297212406753,0.9620762525730129,2.3819430375975688,-4.343575571404417,-2.974960323438658,-4.434285636374082,-3.0517634594606085,0.351351486175167,0.8217690604523202
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,adaptive_minus_static,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f,binary_50_tie_violation,5094,695,2.0023557126030624,-3.4943070278759327,-3.4943070278759327,0.0,1.2811798653042132,2.746058102398555,-4.2000595861482255,-2.836117990864318,-4.2000595861482255,-2.836117990864318,0.0,0.0
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,adaptive_minus_static,4a4d7b160c40eadc7efd92fa100fdabffda82ce5d2eef5d7240a6cbc8c8bb89f,binary_50_tie_no_violation,5094,695,1.7471535139379664,-3.239104829210836,-3.239104829210836,0.0,1.0365509339333818,2.453576614344575,-3.9040499359503444,-2.5971399807002333,-3.9040499359503444,-2.5971399807002333,0.0,0.0
