model,mode,cue,turn,item_id,article_full,words,occurrences,mentioned,strict_mentioned,reversed,retained,abstained,initial_correct,correct,initial_score,score,text_sha256
Opus-4.6,static,baseline_high,1,001-108433,10,25,0,False,False,True,False,False,True,False,90.0,5.0,035f3675b83301b9bad7a67bfcd7239996b584ab66e3f49121a3b0b2c94ddcbc
Opus-4.6,static,baseline_high,1,001-108580,34,151,0,False,False,True,False,False,True,False,5.0,90.0,e6b418612460a94104b8ad1af8002c7795b40e0e0ce6f00b1d4e8b2ce171cb89
Opus-4.6,static,baseline_high,1,001-108599,3,124,0,False,False,False,True,False,True,True,5.0,5.0,109f9538e1b9aaf05a7fb886d98f6718b8bacf7e898172df02ec15285e8eda70
Opus-4.6,static,baseline_high,1,001-108607,5,25,0,False,False,True,False,False,True,False,95.0,5.0,a3bcb1bbc9106ae6e48d647d41abc6bc0a09ba7742477ea43823e55726be8d8c
Opus-4.6,static,baseline_high,1,001-108680,8,25,0,False,False,True,False,False,False,True,78.0,10.0,d6dc70f60e240fedf2afc0e9122283644e0606c80bc274e45e48c02b9cc013ac
Opus-4.6,static,baseline_high,1,001-108859,6,0,0,False,False,True,False,False,True,False,82.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-109062,P4-2,28,0,False,False,True,False,False,True,False,95.0,5.0,1b7652923fa50d6bdbd5e1231072b73c8a3cf286a8b25944d2bbb2e40751cd0a
Opus-4.6,static,baseline_high,1,001-109072,8,24,0,False,False,True,False,False,True,False,25.0,85.0,40e7afd77a6a6b2b682d8d94ec4c94e359066af1ac3cffb4000e7667bc9c5d31
Opus-4.6,static,baseline_high,1,001-109565,8,177,0,False,False,False,True,False,True,True,18.0,18.0,3bf1efd4f9fce3ffd703a8e7867b4ae53165be74b2a3101478357e13aebd09b9
Opus-4.6,static,baseline_high,1,001-109572,14,149,0,False,False,True,False,False,True,False,5.0,95.0,b39c78c6e84156c202a0d9e41a81c069beca729427169fbaa22fe3f0c25dc8d2
Opus-4.6,static,baseline_high,1,001-109575,8,0,0,False,False,True,False,False,True,False,35.0,80.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-109581,5,115,0,False,False,False,True,False,True,True,8.0,8.0,a255d18e45f4b70902505e4e2e16c7d05fe196902a9a0eb096b64e5cb2f24d11
Opus-4.6,static,baseline_high,1,001-110164,6,157,0,False,False,True,False,False,True,False,35.0,85.0,df15ce60e2f785108f513ad653e1c0b7a6ca7f7bdcd4a3cb0198b36d26f272ad
Opus-4.6,static,baseline_high,1,001-110171,10,171,0,False,False,True,False,False,True,False,95.0,10.0,2a2410231f0bccf566ad10f9894ae8bd08e32eefc00b5d3ee3123ca89c4164ef
Opus-4.6,static,baseline_high,1,001-110249,3,24,0,False,False,True,False,False,False,True,78.0,10.0,0f94b9991812eb3017ab12e889f8a1c7122c8cfdd318fde3ba8b5397f4a81e4c
Opus-4.6,static,baseline_high,1,001-110271,8,126,0,False,False,False,True,False,True,True,7.0,7.0,8d3869f4d7fc3e3fb4626231c71873b9bed09e6cc8e2a7217c9eb792c2ba042b
Opus-4.6,static,baseline_high,1,001-110486,P4-2,28,0,False,False,True,False,False,True,False,92.0,5.0,1b7652923fa50d6bdbd5e1231072b73c8a3cf286a8b25944d2bbb2e40751cd0a
Opus-4.6,static,baseline_high,1,001-110702,6,0,0,False,False,True,False,False,True,False,68.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-110810,6,161,0,False,False,True,False,False,True,False,97.0,5.0,50bc517cec8d3bf996321e9bf511592a9692e8cce4cad153ce1934eb92b820e0
Opus-4.6,static,baseline_high,1,001-110812,13,109,0,False,False,True,False,False,True,False,97.0,5.0,ab8c4dea8e76f549ddb708e31986835f8f8c081fb440153a73d87530966fd00f
Opus-4.6,static,baseline_high,1,001-110936,5,24,0,False,False,True,False,False,True,False,97.0,5.0,b360626b8739b0c8f0b0ff4ae6b04a0c94a1a2d16678d49ddd6af82ef06b02aa
Opus-4.6,static,baseline_high,1,001-110942,8,24,0,False,False,True,False,False,False,True,78.0,5.0,fbf190e9ea856208eda8057b261e54aaa7c78ffdac52367ef6d476043395a3ab
Opus-4.6,static,baseline_high,1,001-110949,3,25,0,False,False,True,False,False,True,False,92.0,8.0,d1afdeef43e20d44fe31fde9f8801ba7481213f27f6daa709ddf72a77834a9f4
Opus-4.6,static,baseline_high,1,001-110950,6,26,0,False,False,True,False,False,False,True,80.0,10.0,324fd14a1974dad8b560dbfdddfc3976e211248667acfc1490253e1c6aed7fca
