case_name,article,violation_label,avg_rating,is_accurate,num_abstentions,num_samples,sample_ratings
CASE OF SELIMI AND KRASNIĆI v. SERBIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MINASYAN v. ARMENIA,6,violation,1.9,True,1,10,"[1, 1, 2, 2, 1, 5, 1, 1, 2, 3]"
CASE OF GULLOTTI v. ITALY,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF EDITORIAL BOARD OF THE NEWSPAPER AND INTERNET PORTAL MAGYAR HANG AND ALHAMBRA PRESS BT v. HUNGARY,10,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ZAKAIDZE v. GEORGIA,3,no_violation,4.6,True,0,10,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 2]"
CASE OF MACHARIK v. THE CZECH REPUBLIC,41,violation,2.6,True,0,10,"[1, 1, 1, 1, 5, 5, 5, 1, 5, 1]"
CASE OF YILDIRIM v. TÜRKİYE,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF IBRAHIMI AND OTHERS v. ALBANIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF EZEOKE v. THE UNITED KINGDOM,6,violation,1.7,True,0,10,"[4, 1, 4, 1, 1, 1, 1, 2, 1, 1]"
"CASE OF JÓHANNES BALDURSSON AND BIRKIR KRISTINSSON v. ICELAND

",6,violation,2.1,True,0,10,"[1, 1, 1, 4, 4, 1, 1, 4, 2, 2]"
CASE OF ČERNÝ AND OTHERS v. THE CZECH REPUBLIC,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF TVERDOKHLEBOVA v. UKRAINE,P1-1,no_violation,4.9,True,0,10,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
"CASE OF URUSBIEV AND OTHERS v. THE REPUBLIC OF MOLDOVA AND RUSSIA
",8,violation,2.4,True,7,10,"[3, 3, 1, 3, 3, 1, 3, 3, 1, 3]"
