model,label,experiment,condition,retained_after_exclusion,rule,paired_targets,unique_judgments,cohort_sha256,initial_correct_n,final_correct_n,corrections_n,losses_n,net_correct_change_n,accuracy_change_pp,categorical_change_n,categorical_change_pct,strict_reversal_n
anthropic/claude-opus-4.6,Claude Opus 4.6,summarization,summary,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,747,723,44,68,-24,-2.4,161,16.1,46
anthropic/claude-opus-4.6,Claude Opus 4.6,paraphrasing,light,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,753,741,15,27,-12,-1.2,76,7.6,15
anthropic/claude-opus-4.6,Claude Opus 4.6,paraphrasing,medium,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,753,743,21,31,-10,-1.0,84,8.4,14
anthropic/claude-opus-4.6,Claude Opus 4.6,paraphrasing,heavy,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,753,747,21,27,-6,-0.6,75,7.5,15
openai/gpt-5.6-sol,GPT-5.6-sol,summarization,summary,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,835,815,31,51,-20,-2.0,107,10.7,47
openai/gpt-5.6-sol,GPT-5.6-sol,paraphrasing,light,False,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,834,841,20,13,7,0.7000000000000001,49,4.9,10
openai/gpt-5.6-sol,GPT-5.6-sol,paraphrasing,medium,False,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,834,838,23,19,4,0.4,56,5.6,19
openai/gpt-5.6-sol,GPT-5.6-sol,paraphrasing,heavy,False,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,834,837,18,15,3,0.3,47,4.7,15
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,summarization,summary,False,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,727,712,44,59,-15,-1.5,158,15.8,27
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,paraphrasing,light,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,740,726,47,61,-14,-1.4000000000000001,147,14.7,37
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,paraphrasing,medium,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,740,727,49,62,-13,-1.3,149,14.9,33
deepseek/deepseek-v4-pro,DeepSeek V4 Pro,paraphrasing,heavy,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,740,750,53,43,10,1.0,139,13.9,27
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,summarization,summary,False,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,701,692,35,44,-9,-0.8999999999999999,126,12.6,39
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,paraphrasing,light,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,682,687,61,56,5,0.5,161,16.1,66
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,paraphrasing,medium,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,682,684,63,61,2,0.2,169,16.9,71
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,paraphrasing,heavy,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,682,701,65,46,19,1.9,156,15.6,66
qwen/qwen3-235b-a22b,Qwen3-235B,summarization,summary,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,663,650,45,58,-13,-1.3,160,16.0,13
qwen/qwen3-235b-a22b,Qwen3-235B,paraphrasing,light,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,669,655,26,40,-14,-1.4000000000000001,104,10.4,6
qwen/qwen3-235b-a22b,Qwen3-235B,paraphrasing,medium,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,669,662,27,34,-7,-0.7000000000000001,106,10.6,9
qwen/qwen3-235b-a22b,Qwen3-235B,paraphrasing,heavy,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,669,672,33,30,3,0.3,103,10.3,7
qwen/qwen3-32b,Qwen3-32B,summarization,summary,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,691,670,35,56,-21,-2.1,147,14.7,26
qwen/qwen3-32b,Qwen3-32B,paraphrasing,light,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,694,692,23,25,-2,-0.2,85,8.5,8
qwen/qwen3-32b,Qwen3-32B,paraphrasing,medium,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,694,695,26,25,1,0.1,92,9.2,8
qwen/qwen3-32b,Qwen3-32B,paraphrasing,heavy,True,band_40_60,1000,947,ec17ffa333a9137cbc08de4e498772061533739f911c72473d8b9908ba8752d6,694,685,19,28,-9,-0.8999999999999999,86,8.6,9
