model,family,arm,path,records,valid_means,missing_means,abstentions,unparsed_ratings,complete_ten_ratings,saved_plurality_differs_from_mean
openai/gpt-4o-mini,full_record,default,data/experiments/unified_fullcase_oldmodels/openai_gpt-4o-mini/baseline.jsonl,1000,1000,0,89,0,1000,44
openai/gpt-4o-mini,summary,default,data/experiments/unified_fullcase_oldmodels/openai_gpt-4o-mini/rq1.jsonl,1000,1000,0,51,0,1000,25
openai/gpt-4o-mini,paraphrase,medium,data/experiments/paraphrase_oldmodels/openai_gpt-4o-mini/paraphrase_results.jsonl,1000,1000,0,70,0,1000,0
openai/gpt-4o-mini,paraphrase,light,data/experiments/paraphrase_oldmodels/openai_gpt-4o-mini/paraphrase_results.jsonl,1000,1000,0,66,0,1000,0
openai/gpt-4o-mini,paraphrase,original,data/experiments/paraphrase_oldmodels/openai_gpt-4o-mini/paraphrase_results.jsonl,1000,1000,0,79,0,1000,0
openai/gpt-4o-mini,paraphrase,heavy,data/experiments/paraphrase_oldmodels/openai_gpt-4o-mini/paraphrase_results.jsonl,1000,1000,0,68,0,1000,0
openai/gpt-4o-mini,stateswap,Ukraine,data/experiments/stateswap_oldmodels/openai_gpt-4o-mini/stateswap_summary_results.jsonl,1000,1000,0,37,0,1000,0
openai/gpt-4o-mini,stateswap,original,data/experiments/stateswap_oldmodels/openai_gpt-4o-mini/stateswap_summary_results.jsonl,1000,1000,0,38,0,1000,0
openai/gpt-4o-mini,stateswap,Russia,data/experiments/stateswap_oldmodels/openai_gpt-4o-mini/stateswap_summary_results.jsonl,1000,1000,0,40,0,1000,0
openai/gpt-4o-mini,stateswap,US,data/experiments/stateswap_oldmodels/openai_gpt-4o-mini/stateswap_summary_results.jsonl,1000,1000,0,55,0,1000,0
openai/gpt-4.1-mini,full_record,default,data/experiments/unified_fullcase_oldmodels/openai_gpt-4_1-mini/baseline.jsonl,1000,1000,0,108,0,1000,75
openai/gpt-4.1-mini,summary,default,data/experiments/unified_fullcase_oldmodels/openai_gpt-4_1-mini/rq1.jsonl,1000,1000,0,68,0,1000,43
openai/gpt-4.1-mini,paraphrase,light,data/experiments/paraphrase_oldmodels/openai_gpt-4.1-mini/paraphrase_results.jsonl,1000,1000,0,84,0,1000,0
openai/gpt-4.1-mini,paraphrase,original,data/experiments/paraphrase_oldmodels/openai_gpt-4.1-mini/paraphrase_results.jsonl,1000,1000,0,74,0,1000,0
openai/gpt-4.1-mini,paraphrase,heavy,data/experiments/paraphrase_oldmodels/openai_gpt-4.1-mini/paraphrase_results.jsonl,1000,1000,0,84,0,1000,0
openai/gpt-4.1-mini,paraphrase,medium,data/experiments/paraphrase_oldmodels/openai_gpt-4.1-mini/paraphrase_results.jsonl,1000,1000,0,83,0,1000,0
openai/gpt-4.1-mini,stateswap,original,data/experiments/stateswap_oldmodels/openai_gpt-4.1-mini/stateswap_summary_results.jsonl,1000,1000,0,74,0,1000,0
openai/gpt-4.1-mini,stateswap,US,data/experiments/stateswap_oldmodels/openai_gpt-4.1-mini/stateswap_summary_results.jsonl,1000,1000,0,77,0,1000,0
openai/gpt-4.1-mini,stateswap,Ukraine,data/experiments/stateswap_oldmodels/openai_gpt-4.1-mini/stateswap_summary_results.jsonl,1000,1000,0,57,0,1000,0
openai/gpt-4.1-mini,stateswap,Russia,data/experiments/stateswap_oldmodels/openai_gpt-4.1-mini/stateswap_summary_results.jsonl,1000,1000,0,61,0,1000,0
anthropic/claude-opus-4.6,full_record,default,data/experiments/unified_fullcase_latest/anthropic_claude-opus-4_6/baseline.jsonl,1000,1000,0,62,0,1000,3
anthropic/claude-opus-4.6,summary,default,data/experiments/unified_fullcase_latest/anthropic_claude-opus-4_6/rq1.jsonl,1000,1000,0,79,0,1000,9
anthropic/claude-opus-4.6,paraphrase,heavy,data/experiments/paraphrase/anthropic_claude-opus-4.6/paraphrase_results.jsonl,1000,1000,0,53,0,1000,0
anthropic/claude-opus-4.6,paraphrase,medium,data/experiments/paraphrase/anthropic_claude-opus-4.6/paraphrase_results.jsonl,1000,1000,0,53,0,1000,0
anthropic/claude-opus-4.6,paraphrase,original,data/experiments/paraphrase/anthropic_claude-opus-4.6/paraphrase_results.jsonl,1000,1000,0,53,0,1000,0
anthropic/claude-opus-4.6,paraphrase,light,data/experiments/paraphrase/anthropic_claude-opus-4.6/paraphrase_results.jsonl,1000,1000,0,56,0,1000,0
anthropic/claude-opus-4.6,stateswap,original,data/experiments/stateswap_summary/anthropic_claude-opus-4.6/stateswap_summary_results.jsonl,1000,1000,0,75,0,1000,0
