model,event_a,event_b,measure_a,measure_b,reference_a,reference_b,shared_valid_targets,denominator,judgments,n_a,n_b,n_both,n_a_only,n_b_only,n_neither,n_no_violation,n_violation,cohort_sha256,expected_independent,expected_within_label,excess_joint_pp,excess_joint_pp_lower_95,excess_joint_pp_upper_95,label_adjusted_excess_joint_pp,label_adjusted_excess_joint_pp_lower_95,label_adjusted_excess_joint_pp_upper_95,label_adjusted_enrichment,risk_b_if_a_percent,risk_b_if_not_a_percent
anthropic/claude-opus-4.6,summary,paraphrase_light,correct_to_wrong,correct_to_wrong,full_record,paraphrase_original,1000,736,705,22,8,3,19,5,709,97,639,40cf7ef1bc792a33c410980a53b99af7305be9cd4f15bd37f67de15a868f0ad9,0.2391304347826087,0.9522288369391607,0.3751181474480151,-0.015824584216407672,0.8897417290701358,0.27822977758978795,-0.05479300580318387,0.6806014426984885,3.1505032021957913,13.636363636363635,0.700280112044818
anthropic/claude-opus-4.6,summary,paraphrase_medium,correct_to_wrong,correct_to_wrong,full_record,paraphrase_original,1000,736,705,22,8,3,19,5,709,97,639,40cf7ef1bc792a33c410980a53b99af7305be9cd4f15bd37f67de15a868f0ad9,0.2391304347826087,0.8322927254247132,0.3751181474480151,-0.01677963008478087,0.8897652854952156,0.2945254449151205,-0.042558348670060045,0.7175486421782102,3.6045010467550593,13.636363636363635,0.700280112044818
anthropic/claude-opus-4.6,summary,paraphrase_heavy,correct_to_wrong,correct_to_wrong,full_record,paraphrase_original,1000,736,705,22,6,2,20,4,710,97,639,40cf7ef1bc792a33c410980a53b99af7305be9cd4f15bd37f67de15a868f0ad9,0.1793478260869565,0.5642514883113111,0.2473712192816635,-0.022825676897182203,0.6508187448155525,0.19507452604465883,-0.05569756704114666,0.5590081291638507,3.544518785383428,9.090909090909092,0.5602240896358543
anthropic/claude-opus-4.6,summary,state_swap_US,correct_to_wrong,decisive_reversal,full_record,state_swap_original,800,564,542,16,5,0,16,5,543,78,486,5afbe3381051120081c7cb379160d4369d2635d6c7fb3717c98fcdae2611ad27,0.14184397163120568,0.5743906299461855,-0.02514964036014285,-0.056590239231330726,-0.004887538395046526,-0.10184231027414636,-0.23237706929459231,-0.016727488023393952,0.0,0.0,0.9124087591240875
anthropic/claude-opus-4.6,summary,state_swap_Russia,correct_to_wrong,decisive_reversal,full_record,state_swap_original,800,564,542,16,9,0,16,9,539,78,486,5afbe3381051120081c7cb379160d4369d2635d6c7fb3717c98fcdae2611ad27,0.2553191489361702,1.1384931940487495,-0.04526935264825713,-0.08983162063961876,-0.015941045610155274,-0.20186049539871442,-0.39606248313056913,-0.06930328572332005,0.0,0.0,1.6423357664233578
anthropic/claude-opus-4.6,summary,state_swap_Ukraine,correct_to_wrong,decisive_reversal,full_record,state_swap_original,800,564,542,16,9,0,16,9,539,78,486,5afbe3381051120081c7cb379160d4369d2635d6c7fb3717c98fcdae2611ad27,0.2553191489361702,1.1384931940487495,-0.04526935264825713,-0.09235541323915326,-0.015387269866395322,-0.20186049539871442,-0.39301594511884946,-0.06564831523809951,0.0,0.0,1.6423357664233578
anthropic/claude-opus-4.6,summary,persuasion_static_no_cue,correct_to_wrong,correct_to_wrong,full_record,saved_initial_response,874,645,645,1,590,1,0,589,55,61,584,f93fbc85bf6395303a4ad536dcd404d188031814787f8fa9cae4a7297905decf,0.9147286821705426,0.9195205479452054,0.013220359353404248,0.0,0.044708851631512496,0.01247743442709993,0.0,0.04288221905579447,1.0875232774674115,100.0,91.45962732919256
anthropic/claude-opus-4.6,summary,persuasion_static_ai_safety_researcher,correct_to_wrong,correct_to_wrong,full_record,saved_initial_response,874,645,645,1,5,0,1,5,639,61,584,f93fbc85bf6395303a4ad536dcd404d188031814787f8fa9cae4a7297905decf,0.007751937984496124,0.008561643835616438,-0.0012018508503094764,-0.005047773571299802,0.0,-0.001327386641180843,-0.005546768063715611,0.0,0.0,0.0,0.7763975155279503
anthropic/claude-opus-4.6,summary,persuasion_adaptive_no_cue,correct_to_wrong,correct_to_wrong,full_record,saved_initial_response,480,379,379,1,308,1,0,307,71,32,347,b8c184f871bed8ef229eb08a3e7aeb3b335507115527f3ecf18a67441b3766e2,0.8126649076517151,0.8242074927953891,0.0494287842607612,0.0,0.16499467422254088,0.0463832472835385,0.0,0.15552779277351578,1.2132867132867133,100.0,81.21693121693121
anthropic/claude-opus-4.6,summary,persuasion_adaptive_ai_safety_researcher,correct_to_wrong,correct_to_wrong,full_record,saved_initial_response,480,379,379,1,4,0,1,4,374,32,347,b8c184f871bed8ef229eb08a3e7aeb3b335507115527f3ecf18a67441b3766e2,0.010554089709762533,0.011527377521613832,-0.0027847202400428845,-0.012531241080192981,0.0,-0.003041524412035312,-0.013378423575755322,0.0,0.0,0.0,1.0582010582010581
anthropic/claude-opus-4.6,paraphrase_light,state_swap_US,correct_to_wrong,decisive_reversal,paraphrase_original,state_swap_original,800,570,548,9,5,1,8,4,557,81,489,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7,0.07894736842105263,0.3024312656214497,0.16158818097876268,-0.019391436764409492,0.513576300011564,0.12238047971553515,-0.10254964389219902,0.5028641035028877,3.3065364387678438,11.11111111111111,0.7130124777183601
anthropic/claude-opus-4.6,paraphrase_light,state_swap_Russia,correct_to_wrong,decisive_reversal,paraphrase_original,state_swap_original,800,570,548,9,10,2,7,8,553,81,489,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7,0.15789473684210525,0.67280163599182,0.32317636195752536,-0.02462512651719712,0.8439444064091829,0.23284181824704914,-0.09184678793925562,0.7016935269044543,2.972644376899696,22.22222222222222,1.4260249554367201
anthropic/claude-opus-4.6,paraphrase_light,state_swap_Ukraine,correct_to_wrong,decisive_reversal,paraphrase_original,state_swap_original,800,570,548,9,10,2,7,8,553,81,489,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7,0.15789473684210525,0.67280163599182,0.32317636195752536,-0.024800019342774295,0.8441425940149799,0.23284181824704914,-0.09048890557072722,0.7055392056275785,2.972644376899696,22.22222222222222,1.4260249554367201
anthropic/claude-opus-4.6,paraphrase_light,persuasion_static_no_cue,correct_to_wrong,correct_to_wrong,paraphrase_original,saved_initial_response,874,646,646,4,591,4,0,587,55,61,585,13c36750903a46355f71a6631af1d6df171aa7481138d5f20696de3ad3d64eed,3.6594427244582044,3.577021157349026,0.05271784451111387,0.010543568902222777,0.11118672660525841,0.06547660102956253,0.009100802081609594,0.14836198796031838,1.118248907133792,100.0,91.43302180685359
anthropic/claude-opus-4.6,paraphrase_light,persuasion_static_ai_safety_researcher,correct_to_wrong,correct_to_wrong,paraphrase_original,saved_initial_response,874,646,646,4,6,0,4,6,636,61,585,13c36750903a46355f71a6631af1d6df171aa7481138d5f20696de3ad3d64eed,0.03715170278637771,0.020512820512820513,-0.005751037583030605,-0.01581535335333416,-0.00047925313191921715,-0.003175359212510915,-0.01030360619250774,0.0,0.0,0.0,0.9345794392523363
